Nr,Pin Name,1 IN,1 OUT,2 IN,2 OUT,3 IN,3 OUT,4 IN,4 OUT,5 IN,5 OUT,6 IN,6 OUT,7 IN,7 OUT,Other,F1L 48,F1L 64,F1L 80,F1L 100,F1L 144,F1L 176,F1M 100,F1M 144,F1M 176,F1M 233,F1H 176,F1H 233,F1H 272,
1,AP0_0,,,,,,,,,,,,,,,ADCA0I0,34,44,53,68,90,106,68,90,106,K15,106,K15,P20,
2,AP0_1,,,,,,,,,,,,,,,ADCA0I1,33,43,52,67,89,105,67,89,105,L17,105,L17,P19,
3,AP0_2,,,,,,,,,,,,,,,ADCA0I2,32,42,51,66,88,104,66,88,104,L16,104,L16,R20,
4,AP0_3,,,,,,,,,,,,,,,ADCA0I3,31,41,50,65,87,103,65,87,103,M17,103,M17,P18,
5,AP0_4,,,,,,,,,,,,,,,ADCA0I4,30,40,49,64,86,102,64,86,102,L15,102,L15,R19,
6,AP0_5,,,,,,,,,,,,,,,ADCA0I5,29,39,48,63,85,101,63,85,101,M16,101,M16,T20,
7,AP0_6,,,,,,,,,,,,,,,ADCA0I6,28,38,47,62,84,100,62,84,100,N17,100,N17,P17,
8,AP0_7,,,,,,,,,,,,,,,ADCA0I7,27,37,46,61,83,99,61,83,99,N16,99,N16,R18,
9,AP0_8,,,,,,,,,,,,,,,ADCA0I8,,36,45,60,82,98,60,82,98,M15,98,M15,T19,
10,AP0_9,,,,,,,,,,,,,,,ADCA0I9,,35,44,59,81,97,59,81,97,P17,97,P17,U20,
11,AP0_10,,,,,,,,,,,,,,,ADCA0I10,,,43,58,80,96,58,80,96,P16,96,P16,T18,
12,AP0_11,,,,,,,,,,,,,,,ADCA0I11,,,,57,79,95,57,79,95,N15,95,N15,U19,
13,AP0_12,,,,,,,,,,,,,,,ADCA0I12,,,,56,78,94,56,78,94,R17,94,R17,V20,
14,AP0_13,,,,,,,,,,,,,,,ADCA0I13,,,,55,77,93,55,77,93,P15,93,P15,U18,
15,AP0_14,,,,,,,,,,,,,,,ADCA0I14,,,,54,76,92,54,76,92,R16,92,R16,V19,
16,AP0_15,,,,,,,,,,,,,,,ADCA0I15,,,,53,75,91,53,75,91,T17,91,T17,W20,
17,AP1_0,,,,,,,,,,,,,,,ADCA1I0,,,,,109,133,,109,133,C17,133,C17,C20,
18,AP1_1,,,,,,,,,,,,,,,ADCA1I1,,,,,108,132,,108,132,D15,132,D15,D18,
19,AP1_2,,,,,,,,,,,,,,,ADCA1I2,,,,,107,131,,107,131,D16,131,D16,D19,
20,AP1_3,,,,,,,,,,,,,,,ADCA1I3,,,,,106,130,,106,130,D17,130,D17,D20,
21,AP1_4,,,,,,,,,,,,,,,ADCA1I4,,,,,105,129,,105,129,F14,129,F14,E18,
22,AP1_5,,,,,,,,,,,,,,,ADCA1I5,,,,,104,128,,104,128,E15,128,E15,E19,
23,AP1_6,,,,,,,,,,,,,,,ADCA1I6,,,,,103,127,,103,127,E16,127,E16,E20,
24,AP1_7,,,,,,,,,,,,,,,ADCA1I7,,,,,102,126,,102,126,F15,126,F15,F18,
25,AP1_8,,,,,,,,,,,,,,,ADCA1I8,,,,,,125,,,125,E17,125,E17,G17,
26,AP1_9,,,,,,,,,,,,,,,ADCA1I9,,,,,,124,,,124,F16,124,F16,F19,
27,AP1_10,,,,,,,,,,,,,,,ADCA1I10,,,,,,123,,,123,G14,123,G14,F20,
28,AP1_11,,,,,,,,,,,,,,,ADCA1I11,,,,,,122,,,122,G15,122,G15,G18,
29,AP1_12,,,,,,,,,,,,,,,ADCA1I12,,,,,,137,,,137,B16,137,B16,B19,
30,AP1_13,,,,,,,,,,,,,,,ADCA1I13,,,,,,136,,,136,C15,136,C15,B20,
31,AP1_14,,,,,,,,,,,,,,,ADCA1I14,,,,,,135,,,135,B17,135,B17,C18,
32,AP1_15,,,,,,,,,,,,,,,ADCA1I15,,,,,,134,,,134,C16,134,C16,C19,
33,JP0_0,INTP0,,,,,,,,,,,,,,DCUTDI_LPDI_LPDIO,15,19,23,28,39,47,28,39,47,U4,47,U4,V5,
34,JP0_1,INTP1,,TAUJ0I0,TAUJ0O0,,,,,,,,,,,DCUTDO_LPDO,14,18,22,27,38,46,27,38,46,P5,46,P5,W4,
35,JP0_2,INTP2,,TAUJ0I1,TAUJ0O1,,,,,,,,,,,DCUTCK_LPDCLK,13,17,21,26,37,45,26,37,45,T4,45,T4,U5,
36,JP0_3,INTP3,CSCXFOUT,TAUJ0I2,TAUJ0O2,,,,,,,,,,,DCUTMS,12,16,20,25,36,44,25,36,44,R4,44,R4,V4,
37,JP0_4 (*18),,,,,,,,,,,,,,,_DCUTRST,11,15,19,24,35,43,24,35,43,R3,43,R3,Y3,
38,JP0_5,NMI,RTCA0OUT,TAUJ0I3,TAUJ0O3,,,,,,,,,,,_DCURDY_LPDCLKOUT,,,,,34,42,,34,42,U3,42,U3,W3,
38,JP0_5,NMI,,TAUJ0I3,TAUJ0O3,,,,,,,,,,,_DCURDY_LPDCLKOUT,10,14,18,23,,,23,,,,,,,
39,JP0_6,,,,,,,,,,,,,,,_EVTO,,,,,54,66,,54,66,U11,66,U11,W11,
40,P0_0,TAUD0I2,TAUD0O2,RLIN20RX,CAN0TX,,PWGA10O,_CSIH0SSI,DPO,,,,,,,_RESETOUT,4,4,6,6,13,18,6,13,18,J1,18,J1,M1,
41,P0_1,TAUD0I4,TAUD0O4,CAN0RX_INTP0,RLIN20TX,INTP0,PWGA11O,CSIH0SI,APO,,,,,,,,5,5,7,7,14,19,7,14,19,J2,19,J2,M2,
42,P0_2,TAUD0I6,TAUD0O6,CAN1RX_INTP1,RLIN30TX,,PWGA12O,CSIH0SC,CSIH0SC,INTP1,DPO,,,,,,,6,8,8,15,20,8,15,20,J4,20,J4,N4,
42,P0_2,TAUD0I6,TAUD0O6,,RLIN30TX,,PWGA12O,CSIH0SC,CSIH0SC,INTP1,DPO,,,,,,6,,,,,,,,,,,,,
43,P0_3,TAUD0I8,TAUD0O8,RLIN30RX_INTP10,CAN1TX,DPIN1,PWGA13O,,CSIH0SO,INTP10,,,,,,,,7,9,9,16,21,9,16,21,K1,21,K1,L3,
